Position,Country/territory,"Share 2015","Share 2016","Count 2016","Change in Adjusted Share 2015-2016"
1,"United States of America (USA)",20766.3996127,20007.8048884,26920,-0.012
2,China,7676.2913917,8095.067279,11194,0.082
3,Germany,4682.2006148,4518.9292586,8291,-0.01
4,"United Kingdom (UK)",3809.7685285,3741.1927687,7300,0.007
5,Japan,3416.761012,3178.057838,4804,-0.046
6,France,2440.4545453,2329.5525616,4850,-0.021
7,Canada,1777.6842984,1581.4654251,3032,-0.088
8,Switzerland,1348.5718453,1350.5187695,2931,0.027
9,"South Korea",1419.4597701,1337.4428522,2151,-0.034
10,Spain,1205.4742734,1213.8866862,2626,0.033
11,Australia,1211.6515165,1174.3213903,2529,-0.006
12,Italy,1183.3269868,1045.9821468,2478,-0.093
13,Netherlands,867.055406,934.0694891,2213,0.105
14,India,943.185465,904.8006651,1336,-0.016
15,Israel,612.8974543,593.8874631,1122,-0.006
16,Sweden,661.5904124,585.6929214,1610,-0.092
17,Singapore,590.9485664,555.7004317,1061,-0.036
18,Belgium,416.5148243,455.0070067,1112,0.12
19,Taiwan,499.7118027,443.1884619,905,-0.09
20,Russia,388.3635774,398.1719173,1243,0.052
21,Denmark,373.4661377,395.9208105,1048,0.087
22,Austria,321.492747,335.2400424,1048,0.069
23,Brazil,238.1198209,251.7105699,814,0.084
24,Poland,248.4770588,207.091215,748,-0.145
25,Finland,222.9407391,204.5927678,626,-0.059
26,"Czech Republic",161.0165898,171.7408687,568,0.094
27,Norway,152.8898715,162.1019915,595,0.087
28,Portugal,144.42026,141.6759939,500,0.006
29,"Saudi Arabia",124.364094,137.3952058,514,0.133
30,Ireland,128.0308219,133.3181506,426,0.068
31,"New Zealand",129.5744141,121.9918755,358,-0.034
32,Argentina,97.3230957,93.6116993,290,-0.013
33,Iran,69.3042186,90.8169684,208,0.344
34,Greece,104.044578,88.4627315,389,-0.128
35,Chile,103.0636896,83.5390386,354,-0.169
36,Mexico,79.2660687,79.7123409,313,0.031
37,Hungary,90.3522647,77.3206334,323,-0.122
38,Turkey,76.9494074,73.485517,336,-0.021
39,"South Africa",75.6805402,62.483364,307,-0.153
40,Slovenia,47.3146521,36.1552443,182,-0.216
41,Thailand,32.7667184,29.3771673,165,-0.08
42,Pakistan,23.3004575,28.2358058,160,0.243
43,Ukraine,32.9446748,27.5178362,205,-0.143
44,Romania,27.4271103,25.2777074,216,-0.055
45,Colombia,17.1674115,24.3688226,240,0.456
46,Iceland,23.9194005,23.0752786,98,-0.011
47,Estonia,18.4238538,22.1640432,154,0.234
48,Croatia,20.5698325,21.0736931,160,0.051
49,Luxembourg,9.3172664,20.5716727,55,1.264
50,Cyprus,16.8194917,18.3886175,87,0.121
51,"United Arab Emirates",15.7988238,16.8281098,62,0.092
52,Qatar,7.1190108,14.9888423,90,1.159
53,Slovakia,13.1031619,11.3001193,137,-0.116
54,Serbia,16.1474111,11.2538373,156,-0.285
55,Indonesia,5.5830404,11.0603545,52,1.032
56,Malaysia,8.772239,10.527633,121,0.231
57,Lithuania,9.8284095,9.8301436,91,0.026
58,Egypt,10.3976425,9.7660652,140,-0.037
59,Bulgaria,10.4676742,9.6743833,114,-0.052
60,Vietnam,9.3317535,9.4387748,62,0.037
61,Morocco,6.2983737,8.6576552,93,0.41
62,Panama,5.8888611,8.4196759,38,0.466
63,Peru,5.0206244,7.9991257,57,0.634
64,Armenia,6.9937889,7.180315,156,0.053
65,Kenya,5.4726652,5.9655846,44,0.118
66,Uruguay,8.9678216,5.6960849,17,-0.349
67,Ecuador,2.5044813,5.5696875,44,1.281
68,Belarus,4.4077119,5.1950457,139,0.209
69,Lebanon,4.3021495,5.1842964,23,0.236
70,"Costa Rica",2.9184296,3.6488831,19,0.282
71,Nepal,1.6365979,3.6203669,19,1.269
72,Kazakhstan,6.5757276,3.5602538,15,-0.445
73,Latvia,4.9252856,3.4235846,29,-0.287
74,Algeria,3.3678724,3.2316789,20,-0.016
75,Bangladesh,3.7413951,3.2078188,15,-0.121
76,Tunisia,4.5137502,2.5078333,18,-0.43
77,Philippines,3.9906508,2.4265301,24,-0.376
78,Ethiopia,2.0266536,2.3965368,16,0.213
79,Kuwait,2.5258479,2.3059785,14,-0.064
80,Oman,1.0114993,2.2178161,6,1.249
81,Macedonia,0.1561937,2.1511111,4,13.125
82,Tanzania,2.8400825,2.0131279,20,-0.273
83,Venezuela,2.9355504,1.9223161,12,-0.328
84,"French Polynesia",1.2005828,1.8390568,13,0.571
85,Uganda,1.1863382,1.7094994,17,0.478
86,Azerbaijan,0.98951,1.6942481,79,0.756
87,Uzbekistan,0.8422222,1.6675448,6,1.031
88,Moldova,2.0835257,1.5735974,14,-0.225
89,"Sri Lanka",1.8959135,1.5684113,40,-0.152
90,"Bosnia and Herzegovina",0.6107431,1.5104167,8,1.536
91,Jamaica,0.1771566,1.4795272,9,7.566
92,Monaco,2.5875,1.4390679,9,-0.43
93,Ghana,0.6392544,1.3901638,10,1.23
94,Georgia,2.9779656,1.3100746,129,-0.549
95,Nigeria,0.787679,1.0879999,17,0.417
96,Cambodia,1.3299269,1.0773308,7,-0.169
97,Zimbabwe,0.0555556,1.067033,3,18.699
98,Jordan,1.6851236,1.0479047,11,-0.362
99,Bolivia,1.5525281,1.0226865,8,-0.324
101,Cuba,2.9328381,0.9155991,20,-0.68
102,Greenland,0.9513158,0.9013187,6,-0.028
103,Iraq,0.7963184,0.8626715,14,0.111
104,"North Korea",0.2608696,0.8365385,4,2.289
105,"Ivory Coast",0.5214053,0.7083333,5,0.393
106,Bhutan,0.3333333,0.6666667,3,1.051
107,Zambia,1.1274242,0.6604167,6,-0.399
108,"Burkina Faso",1.302877,0.6558931,5,-0.484
109,Senegal,1.7745247,0.6488257,7,-0.625
110,Botswana,0.5650794,0.6088889,5,0.105
111,Malta,1.949095,0.577381,4,-0.696
112,Madagascar,0.0115607,0.5772478,7,50.212
113,Malawi,0.6126547,0.5746811,7,-0.038
114,"El Salvador",0.1818182,0.5576923,2,2.146
115,"Sierra Leone",0.5836964,0.53,2,-0.069
116,Tajikistan,0.1,0.5227273,2,4.361
117,Mongolia,0.7941498,0.5189999,7,-0.33
118,Gabon,0.8189394,0.5056558,4,-0.367
119,Cameroon,0.9718541,0.4876331,6,-0.485
120,Namibia,0.6671958,0.4673089,6,-0.282
121,Kyrgyzstan,0.8365152,0.3944444,3,-0.516
122,Congo,0.25,0.58368279569893,5,1.025
122,Vanuatu,0.175,0.3655914,2,1.143
123,Guyana,0.0274028,0.3464912,2,11.968
124,Yemen,0.2205882,0.304329,5,0.415
125,Mali,1.6334848,0.2891966,5,-0.818
126,Fiji,0.0540541,0.2833118,4,4.376
127,"Trinidad and Tobago",0.775817,0.2743207,3,-0.637
128,Samoa,0.027027,0.2740964,2,9.401
129,Guinea,0.229798,0.2700473,3,0.205
130,"Papua New Guinea",0.153563,0.2687079,7,0.795
131,Syria,0.3859649,0.25,1,-0.336
132,Niger,0.3214286,0.247558,3,-0.21
132,"Democratic Republic of the Congo (DRC)",1.396910101249,0.35529448548538,6,-0.779
133,"Palestinian territories",0.3142045,0.2374714,5,-0.225
134,Liberia,0.0909091,0.2051282,1,1.314
135,Mauritius,0.3364979,0.1944444,2,-0.407
136,Guatemala,0.2713675,0.1838235,2,-0.305
137,Swaziland,0.1,0.1666667,1,0.709
137,Mauritania,0.0714286,0.1666667,1,1.393
138,Myanmar,0.1376284,0.1504124,2,0.121
139,Belize,0.0243902,0.1428571,1,5.007
140,Brunei,1.2044358,0.1347581,3,-0.885
141,Libya,0.0434783,0.1333333,2,2.145
142,Bahrain,0.2222222,0.1221591,2,-0.436
143,Seychelles,0.0033683,0.1127451,3,33.33
144,Laos,0.2961712,0.108512,3,-0.624
145,"Saint Kitts and Nevis",0.1694034,0.1,1,-0.395
146,Angola,0.1428571,0.0902564,2,-0.352
147,Barbados,0.0025806,0.0867548,3,33.479
148,"Vatican City State (Holy See)",0.1259259,0.0846561,2,-0.311
149,Gambia,0.6164288,0.0654902,2,-0.891
150,Rwanda,0.6841709,0.03125,1,-0.953
151,Montenegro,0.056665,0.0282689,2,-0.488
152,Reunion,0.2381134,0.0246914,1,-0.894
153,Bahamas,0.2857143,0.015625,1,-0.944
154,Palau,0.2916667,0,0,0
154,Albania,0.3433333,0,0,0
154,Grenada,0.0909091,0,0,0
154,Paraguay,0.5,0,0,0
154,"San Marino",0.125,0,0,0
154,"Faroe Islands",0.2588235,0,0,0
154,Liechtenstein,0.5,0,0,0
154,"Solomon Islands",0.1481481,0,0,0
154,"Central African Republic",0.0625,0,0,0
